jobs,total_qd,bw_mbs,iops,bw_min_mbs,bw_max_mbs,bw_stdev_mbs,lat_avg_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,lat_p999_ms,lat_max_ms,lat_stdev_ms,slat_avg_us,clat_avg_us,cpu_usr_pct,cpu_sys_pct,io_util_pct,ctx_switches,profile,engine,file_size,timestamp
1,32,64.62,16543,31.81,128.35,31.49,1.9337,1.663,3.7847,8.9784,21.889,86.4455,2.3372,6.103,1927.552,3.23,11.29,99.74,130363,rw=randwrite bs=4k iodepth=32 direct=1 dur=30s,libaio,1g,20260330T094340
2,64,129.11,33051,94.2,149.37,5.82,1.9357,1.8924,2.4084,3.0966,21.6269,81.676,1.6082,7.058,1928.687,3.35,11.93,99.74,288716,rw=randwrite bs=4k iodepth=32 direct=1 dur=30s,libaio,1g,20260330T094414
3,96,135.71,34742,96.13,151.67,4.2,2.7625,2.7034,3.4898,4.2271,41.6809,83.7107,2.1102,8.154,2754.332,2.54,8.67,99.75,329827,rw=randwrite bs=4k iodepth=32 direct=1 dur=30s,libaio,1g,20260330T094446
4,128,139.59,35733,90.1,170.33,3.48,3.5812,3.5226,4.5548,5.5378,50.0695,83.8346,2.4069,10.894,3570.352,2.01,7.29,99.75,405615,rw=randwrite bs=4k iodepth=32 direct=1 dur=30s,libaio,1g,20260330T094518
5,160,140.53,35975,110.79,150.77,2.04,4.4465,4.3581,5.6033,6.7174,62.6524,85.0845,2.691,15.26,4431.274,1.67,6.6,99.75,495598,rw=randwrite bs=4k iodepth=32 direct=1 dur=30s,libaio,1g,20260330T094551
6,192,141.12,36127,117.7,152.12,1.7,5.3131,5.2101,6.783,10.2892,66.3224,84.5493,3.1988,23.166,5289.983,1.44,7.27,99.75,547093,rw=randwrite bs=4k iodepth=32 direct=1 dur=30s,libaio,1g,20260330T094623
7,224,135.88,34785,98.55,145.02,1.65,6.4383,5.7999,12.2552,19.0054,71.8275,99.8526,4.2082,26.865,6411.397,1.28,5.89,99.75,572349,rw=randwrite bs=4k iodepth=32 direct=1 dur=30s,libaio,1g,20260330T094656
8,256,130.48,33403,93.59,141.06,1.44,7.6623,6.2587,15.6631,27.1319,78.1189,161.413,5.6192,32.399,7629.865,1.12,4.83,99.76,564832,rw=randwrite bs=4k iodepth=32 direct=1 dur=30s,libaio,1g,20260330T094727
